language,filename,blank,comment,code
XML,hadoop-release-2.3.0/hadoop-common-project/hadoop-common/dev-support/jdiff/hadoop_0.20.2.xml,1364,1180,1
XML,hadoop-release-2.3.0/hadoop-common-project/hadoop-common/dev-support/jdiff/hadoop_0.20.1.xml,1356,1180,1
XML,hadoop-release-2.3.0/hadoop-common-project/hadoop-common/dev-support/jdiff/hadoop_0.20.0.xml,1289,1158,1
XML,hadoop-release-2.3.0/hadoop-common-project/hadoop-common/dev-support/jdiff/hadoop_0.18.1.xml,974,1008,1
XML,hadoop-release-2.3.0/hadoop-common-project/hadoop-common/dev-support/jdiff/hadoop_0.19.2.xml,1077,996,1
XML,hadoop-release-2.3.0/hadoop-common-project/hadoop-common/dev-support/jdiff/hadoop_0.19.1.xml,1077,996,1
XML,hadoop-release-2.3.0/hadoop-common-project/hadoop-common/dev-support/jdiff/hadoop_0.19.0.xml,1076,990,1
XML,hadoop-release-2.3.0/hadoop-common-project/hadoop-common/dev-support/jdiff/hadoop_0.17.0.xml,1224,981,1
XML,hadoop-release-2.3.0/hadoop-common-project/hadoop-common/dev-support/jdiff/hadoop_0.18.3.xml,918,904,1
XML,hadoop-release-2.3.0/hadoop-common-project/hadoop-common/dev-support/jdiff/hadoop_0.18.2.xml,918,902,1
XML,hadoop-release-2.3.0/hadoop-common-project/hadoop-common/dev-support/jdiff/hadoop-core_0.20.0.xml,818,701,1
XML,hadoop-release-2.3.0/hadoop-mapreduce-project/lib/jdiff/hadoop-mapred_0.22.0.xml,974,816,1
XML,hadoop-release-2.3.0/hadoop-mapreduce-project/lib/jdiff/hadoop-mapred_0.21.0.xml,939,810,1
XML,hadoop-release-2.3.0/hadoop-common-project/hadoop-common/dev-support/jdiff/hadoop-core_0.22.0.xml,866,607,1
Java,hadoop-release-2.3.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/src/main/java/org/apache/hadoop/yarn/webapp/hamlet/Hamlet.java,5547,18,1
XML,hadoop-release-2.3.0/hadoop-common-project/hadoop-common/dev-support/jdiff/hadoop-core_0.21.0.xml,823,541,1
HTML,hadoop-release-2.3.0/hadoop-common-project/hadoop-common/src/main/docs/releasenotes.html,531,14,1
XML,hadoop-release-2.3.0/hadoop-mapreduce-project/lib/jdiff/hadoop-mapred_0.20.0.xml,688,478,1
XML,hadoop-release-2.3.0/hadoop-hdfs-project/hadoop-hdfs/dev-support/jdiff/hadoop-hdfs_0.22.0.xml,333,366,1
XML,hadoop-release-2.3.0/hadoop-hdfs-project/hadoop-hdfs/src/test/resources/testHDFSConf.xml,634,112,1
XML,hadoop-release-2.3.0/hadoop-hdfs-project/hadoop-hdfs/dev-support/jdiff/hadoop-hdfs_0.21.0.xml,241,324,1
JSON,hadoop-release-2.3.0/hadoop-tools/hadoop-sls/src/main/data/2jobs2min-rumen-jh.json,0,0,1
XML,hadoop-release-2.3.0/hadoop-hdfs-project/hadoop-hdfs/dev-support/jdiff/hadoop-hdfs_0.20.0.xml,158,202,1
JavaScript,hadoop-release-2.3.0/hadoop-tools/hadoop-sls/src/main/html/js/thirdparty/d3.v3.js,14,23,1
JavaScript,hadoop-release-2.3.0/hadoop-tools/hadoop-sls/src/main/html/js/thirdparty/jquery.js,1544,1596,1
Java,hadoop-release-2.3.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/FSNamesystem.java,632,1377,1
Java,hadoop-release-2.3.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/FSEditLogOp.java,488,192,1
C,hadoop-release-2.3.0/hadoop-hdfs-project/hadoop-hdfs/src/main/native/libhdfs/hdfs.c,329,300,1
Java,hadoop-release-2.3.0/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/io/SequenceFile.java,412,874,1
Velocity Template Language,hadoop-release-2.3.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-site/src/site/apt/MapredAppMasterRest.apt.vm,338,0,1
Velocity Template Language,hadoop-release-2.3.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-site/src/site/apt/HistoryServerRest.apt.vm,343,0,1
Java,hadoop-release-2.3.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/blockmanagement/BlockManager.java,300,727,1
Java,hadoop-release-2.3.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/FSDirectory.java,234,559,1
Java,hadoop-release-2.3.0/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/ipc/Server.java,235,486,1
Java,hadoop-release-2.3.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/fair/TestFairScheduler.java,391,233,1
Java,hadoop-release-2.3.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/DFSClient.java,213,664,1
Java,hadoop-release-2.3.0/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/main/java/org/apache/hadoop/mapreduce/v2/app/job/impl/JobImpl.java,183,202,1
Java,hadoop-release-2.3.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/datanode/DataNode.java,266,480,1
Java,hadoop-release-2.3.0/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/namenode/TestCheckpoint.java,287,450,1
Velocity Template Language,hadoop-release-2.3.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-site/src/site/apt/ResourceManagerRest.apt.vm,275,0,1
Java,hadoop-release-2.3.0/hadoop-hdfs-project/hadoop-hdfs-nfs/src/main/java/org/apache/hadoop/hdfs/nfs/nfs3/RpcProgramNfs3.java,223,97,1
Java,hadoop-release-2.3.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/protocolPB/PBHelper.java,173,47,1
Java,hadoop-release-2.3.0/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/namenode/snapshot/TestRenameWithSnapshots.java,317,357,1
Java,hadoop-release-2.3.0/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/main/java/org/apache/hadoop/mapreduce/v2/app/job/impl/TaskAttemptImpl.java,178,167,1
Java,hadoop-release-2.3.0/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core/src/main/java/org/apache/hadoop/mapred/MapTask.java,187,254,1
Java,hadoop-release-2.3.0/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/TestDFSShell.java,201,159,1
XML,hadoop-release-2.3.0/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core/src/main/resources/mapred-default.xml,206,34,1
Java,hadoop-release-2.3.0/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/conf/Configuration.java,200,928,1
XML,hadoop-release-2.3.0/hadoop-hdfs-project/hadoop-hdfs/src/main/docs/src/documentation/content/xdocs/webhdfs.xml,22,76,1
Java,hadoop-release-2.3.0/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/MiniDFSCluster.java,208,737,1
Java,hadoop-release-2.3.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/DFSOutputStream.java,180,388,1
Java,hadoop-release-2.3.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/webapp/TestRMWebServicesApps.java,143,30,1
