language,filename,blank,comment,code
JavaScript,hadoop-rel-release-3.2.1/hadoop-tools/hadoop-sls/src/main/html/js/thirdparty/d3.v3.js,14,23,1
CSS,hadoop-rel-release-3.2.1/hadoop-hdfs-project/hadoop-hdfs/src/main/webapps/static/bootstrap-3.3.7/css/bootstrap.css,7,8,1
JavaScript,hadoop-rel-release-3.2.1/hadoop-tools/hadoop-sls/src/main/html/js/thirdparty/jquery.js,1950,1724,1
C++,hadoop-rel-release-3.2.1/hadoop-hdfs-project/hadoop-hdfs-native-client/src/main/native/libhdfspp/third_party/gmock-1.7.0/gmock-gtest-all.cc,1514,3539,1
Java,hadoop-rel-release-3.2.1/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/FSNamesystem.java,656,1372,1
C++,hadoop-rel-release-3.2.1/hadoop-common-project/hadoop-common/src/main/native/gtest/gtest-all.cc,1386,2998,1
XML,hadoop-rel-release-3.2.1/hadoop-hdfs-project/hadoop-hdfs/src/main/resources/hdfs-default.xml,568,18,1
Java,hadoop-rel-release-3.2.1/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/FSEditLogOp.java,715,282,1
Java,hadoop-rel-release-3.2.1/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/fair/TestFairScheduler.java,795,555,1
Markdown,hadoop-rel-release-3.2.1/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-site/src/site/markdown/ResourceManagerRest.md,956,0,1
JavaScript,hadoop-rel-release-3.2.1/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/src/main/resources/webapps/static/jt/jquery.jstree.js,101,247,1
Java,hadoop-rel-release-3.2.1/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/TestCapacityScheduler.java,791,518,1
Markdown,hadoop-rel-release-3.2.1/hadoop-common-project/hadoop-common/src/site/markdown/release/3.0.0-alpha1/CHANGELOG.3.0.0-alpha1.md,27,0,1
Java,hadoop-rel-release-3.2.1/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/blockmanagement/BlockManager.java,473,1015,1
XML,hadoop-rel-release-3.2.1/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/src/main/resources/yarn-default.xml,496,47,1
XML,hadoop-rel-release-3.2.1/hadoop-yarn-project/hadoop-yarn/dev-support/jdiff/Apache_Hadoop_YARN_Common_3.1.2.xml,93,118,1
XML,hadoop-rel-release-3.2.1/hadoop-yarn-project/hadoop-yarn/dev-support/jdiff/Apache_Hadoop_YARN_Common_3.1.1.xml,91,114,1
Java,hadoop-rel-release-3.2.1/hadoop-hdfs-project/hadoop-hdfs-client/src/main/java/org/apache/hadoop/hdfs/protocolPB/PBHelperClient.java,257,90,1
Java,hadoop-rel-release-3.2.1/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/TestLeafQueue.java,569,571,1
Markdown,hadoop-rel-release-3.2.1/hadoop-common-project/hadoop-common/src/site/markdown/release/2.8.0/CHANGELOG.2.8.0.md,27,0,1
XML,hadoop-rel-release-3.2.1/hadoop-yarn-project/hadoop-yarn/dev-support/jdiff/Apache_Hadoop_YARN_Client_3.1.0.xml,164,28,1
Java,hadoop-rel-release-3.2.1/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/TestDFSShell.java,355,343,1
Java,hadoop-rel-release-3.2.1/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/test/java/org/apache/hadoop/mapreduce/v2/app/rm/TestRMContainerAllocator.java,504,342,1
XML,hadoop-rel-release-3.2.1/hadoop-yarn-project/hadoop-yarn/dev-support/jdiff/Apache_Hadoop_YARN_Common_3.1.0.xml,78,112,1
C,hadoop-rel-release-3.2.1/hadoop-hdfs-project/hadoop-hdfs-native-client/src/main/native/libhdfs/hdfs.c,367,325,1
XML,hadoop-rel-release-3.2.1/hadoop-common-project/hadoop-common/src/main/resources/core-default.xml,375,39,1
XML,hadoop-rel-release-3.2.1/hadoop-yarn-project/hadoop-yarn/dev-support/jdiff/Apache_Hadoop_YARN_Client_3.1.2.xml,157,26,1
XML,hadoop-rel-release-3.2.1/hadoop-yarn-project/hadoop-yarn/dev-support/jdiff/Apache_Hadoop_YARN_Client_3.1.1.xml,155,26,1
Java,hadoop-rel-release-3.2.1/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/ipc/Server.java,347,759,1
